id,name,smiles,affinity
Halo_Gen1_0043,Adamantane-2-Ethyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCC1CCCCC1=O,-7.738
Halo_Gen1_0103,Rimantadine-Core-Methyl-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)CC1CCCCC1=O,-7.726
Halo_Gen1_0009,Adamantane-1-Ethyl-Jasmone-Core,C12CC3CC(C1)CC(C3)C2CCC1CC(=O)C(C1)CC=CC,-7.723
Halo_Gen1_0127,Rimantadine-Core-ReverseAmide-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CCCCC1=O,-7.722
Halo_Gen1_0031,Adamantane-1-ReverseAmide-Cyclohexanone,C12CC3CC(C1)CC(C3)C2C(=O)NC1CCCCC1=O,-7.72
Halo_Gen1_0024,Adamantane-1-Amide-Hedione-Core,C12CC3CC(C1)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC(=O)OC,-7.711
Halo_Gen1_0036,Adamantane-2-Methyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC(=O)OC,-7.664
Halo_Gen1_0063,Adamantane-2-ReverseAmide-Cyclohexanone,C1C2CC3CC1CC(C2)C3C(=O)NC1CCCCC1=O,-7.658
Halo_Gen1_0000,Adamantane-1-Direct-Hedione-Core,C12CC3CC(C1)CC(C3)C2C1CC(=O)C(C1)CC(=O)OC,-7.655
Halo_Gen1_0060,Adamantane-2-ReverseAmide-Hedione-Core,C1C2CC3CC1CC(C2)C3C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.651
Halo_Gen1_0099,Rimantadine-Core-Direct-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)C1CCCCC1=O,-7.651
Halo_Gen1_0039,Adamantane-2-Methyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CC1CCCCC1=O,-7.631
Halo_Gen1_0028,Adamantane-1-ReverseAmide-Hedione-Core,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.61
Halo_Gen1_0021,Adamantane-1-ThioEther-Jasmone-Core,C12CC3CC(C1)CC(C3)C2SC1CC(=O)C(C1)CC=CC,-7.602
Halo_Gen1_0027,Adamantane-1-Amide-Cyclohexanone,C12CC3CC(C1)CC(C3)C2NC(=O)C1CCCCC1=O,-7.58
Halo_Gen1_0007,Adamantane-1-Methyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CC1CCCCC1=O,-7.575
Halo_Gen1_0020,Adamantane-1-ThioEther-Hedione-Core,C12CC3CC(C1)CC(C3)C2SC1CC(=O)C(C1)CC(=O)OC,-7.575
Halo_Gen1_0049,Adamantane-2-Ether-Jasmone-Core,C1C2CC3CC1CC(C2)C3OC1CC(=O)C(C1)CC=CC,-7.525
Halo_Gen1_0052,Adamantane-2-ThioEther-Hedione-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC(=O)OC,-7.512
